transaction_id,timestamp,recipient_name,recipient_upi,amount,amount_deviation,new_beneficiary,txn_count_last_10min,receiver_unique_senders_24h,receiver_txn_velocity,previous_fraud_reports,device_changed_recently,failed_auth_attempts,unusual_transaction_hour,destination_account_age_days,is_fraud
33eec616-1506-43ef-af6b-1f11deb70821,2026-05-15T01:14:35.769600,QuickCash,quickcash@demo,3046.73,1.5719,0,5,39,0.6787,0,1,2,0,1534,1
3a03c097-511b-45a5-b13d-a3c3c7098d0b,2026-08-31T10:41:35.423709,QuickCash,quickcash@demo,2808.55,0.8875,0,2,11,0.5238,0,0,0,1,1961,0
05c3ab17-d610-4b7c-b0b3-4f85dd767876,2026-08-30T12:30:35.873556,Neha,neha@demo,2472.74,0.7521,0,1,19,0.5934,0,0,0,0,1451,0
ee2ff37e-8634-4049-a5c3-cdaa43419196,2026-05-15T21:36:35.006625,Rahul,rahul@demo,5011.46,3.1356,0,4,24,0.6068,0,0,0,0,1653,0
6b05aedb-b747-4ad7-8fb0-b4cede295097,2026-09-09T08:11:35.392952,Rahul,rahul@demo,4482.84,2.8386,0,1,54,0.3047,0,1,0,0,1260,0
62844f72-4436-422c-b637-d7fbbb56f6ce,2026-07-23T15:51:35.437926,Neha,neha@demo,7419.57,1.4,0,1,30,0.208,0,1,3,0,639,0
a20e2df2-04ff-4956-b72c-27e04af766f0,2026-08-19T09:53:35.169665,Rahul,rahul@demo,689.09,1.2628,0,0,6,0.4696,2,0,0,0,1533,0
35c458c1-402f-4fc1-b085-ca85e42f020b,2026-09-11T16:10:35.245967,Neha,neha@demo,5533.31,0.4832,0,2,25,0.5117,0,0,0,0,1511,0
3d5b6f87-af58-47e0-9617-5fd0e2865812,2026-08-24T21:21:35.255504,QuickCash,quickcash@demo,1059.83,3.3312,0,2,33,0.5244,0,1,0,1,285,1
b80306e3-b660-4420-ae42-5f6ff5316b57,2026-06-02T01:38:35.115324,QuickCash,quickcash@demo,7906.33,2.0497,1,2,11,0.4268,0,0,0,0,1865,0
f4f4bb91-b276-46a9-83fa-d0b60ed86cdd,2026-08-13T10:12:34.981742,Neha,neha@demo,1721.34,3.006,0,4,8,0.2074,0,0,0,1,2265,0
20859e47-33e7-449e-9c98-bdfa3741cf8f,2026-08-05T03:18:35.281966,Neha,neha@demo,2593.53,1.0169,0,6,10,0.6539,0,0,0,0,597,0
f24d2e8b-c479-4d12-8482-3fa22898371c,2026-06-23T03:58:35.852340,RewardDesk,rewarddesk@demo,1971.59,1.6007,0,3,31,0.1702,0,1,0,0,657,0
521618e8-0720-4188-bb10-d57a504b7adc,2026-07-04T09:21:35.433385,Rahul,rahul@demo,878.63,3.0413,0,0,32,0.6155,0,0,0,1,843,0
d8f5e616-5eab-45b0-ade1-31cbfa891d19,2026-07-02T21:34:35.437863,Rahul,rahul@demo,925.87,0.5331,0,4,14,0.1069,0,0,0,0,1207,0
e41d5004-27a0-4429-a49e-d7c81fd6623a,2026-09-05T18:57:35.456007,RewardDesk,rewarddesk@demo,709.39,1.3799,0,0,9,0.0773,0,0,1,0,693,0
545534a6-005a-45a4-bea1-42846b35a2a6,2026-08-09T09:12:35.483940,Neha,neha@demo,1978.6,3.333,0,1,34,0.7418,1,1,0,0,2065,0
62c24e9c-e853-4b4f-9a62-312a6632af28,2026-06-03T23:45:35.746627,QuickCash,quickcash@demo,5269.81,1.7252,1,2,25,0.2609,0,0,1,1,2180,0
